Temperatura;Humedad
29;43
29;42
29;42
29;42
30;41
30;41
30;41
30;41
30;40
31;40
31;40
31;40
31;40
31;39
32;39
27;39
27;39
27;39
27;38
27;38
26;38
26;37
26;36
26;36
33;36
33;37
33;36
33;36
33;36
33;36
33;36
33;36
33;36
34;36
34;36
34;36
34;36
34;35
34;35
35;34
35;34
36;33
36;33
37;32
38;30
39;29
39;29
39;29
44;27
45;27
48;27
44;26
44;26
50;26
51;26
51;25
44;25
44;25
44;24
27;44
27;44
27;50
27;51
27;51
26;44
26;44
26;44
32;29
44;25
44;20
44;20
44;20
44;20
45;20
47;20
50;19
53;19
51;19
52;20
50;19
44;19
43;19
41;19
34;19
33;19
27;19
26;19
26;19
26;19
26;19
26;19
26;18
26;18
26;18
26;17
28;16
45;16
45;16
45;16
45;16
45;16
46;16
45;16
45;16
45;16
45;16
30;16
30;16
30;16
30;16
31;16
31;16
31;15
31;15
31;14
32;14
27;14
27;14
48;14
48;14
49;14
49;14
49;14
49;14
49;13
49;13
49;13
50;12
30;39
30;40
31;39
31;38
31;39
31;35
31;35
32;35
27;40
30;38
32;38
33;37
30;40
28;43
28;46
50;10
50;10
50;10
50;10
50;10
50;10
50;10
50;10
50;10
50;10
49;11
27;41
27;41
27;41
27;41
27;41
27;41
27;41
26;42
26;42
26;42
26;42
26;42
50;10
50;10
50;10
50;10
50;10
50;10
27;41
27;41
27;41
26;42
26;42
26;42
26;42
26;42
26;42
26;42
26;42
26;42
26;42
25;48
25;48
25;48
25;48
25;48
25;47
25;47
25;47
